runway_id,ident,runway_length,runway_surface
1,0R7,5000.0,asphalt
2,5K2,5000.0,grooved concrete
3,C56,5001.0,grooved concrete
4,D38,5500.0,asphalt
5,FWB,5000.0,grooved concrete
6,K00V,6000.0,asphalt
7,K05U,7300.0,asphalt
8,K06A,5003.0,asphalt
9,K06U,6200.0,asphalt
10,K0E0,7700.0,asphalt
11,K0E8,5820.0,asphalt
12,K0J6,5002.0,asphalt
13,K0M0,5000.0,asphalt
14,K0M4,5001.0,asphalt
15,K0R3,5000.0,asphalt
16,K0V7,7140.0,asphalt
17,K0VG,5000.0,asphalt
18,K10U,6700.0,asphalt
19,K11A,5010.0,asphalt
20,K11R,5496.0,asphalt
21,K12J,5001.0,asphalt
22,K12J,5136.0,asphalt
23,K15J,5000.0,asphalt
24,K17J,5777.0,asphalt
25,K18A,5000.0,asphalt
26,K19A,5009.0,asphalt
27,K1A5,5000.0,asphalt
28,K1A9,5400.0,asphalt
29,K1B1,5350.0,asphalt
30,K1F0,5000.0,asphalt
31,K1G4,5058.0,asphalt
32,K1H2,5100.0,grooved concrete
33,K1L7,5000.0,asphalt
34,K1L9,5000.0,asphalt
35,K1M4,5008.0,asphalt
36,K1M5,5000.0,asphalt
37,K1R7,5000.0,asphalt
38,K1R8,5500.0,asphalt
39,K1U7,5730.0,asphalt
40,K1V6,5399.0,asphalt
41,K20V,5540.0,asphalt
42,K24N,7500.0,asphalt
43,K26U,5900.0,asphalt
44,K27K,5498.0,asphalt
45,K28J,5999.0,asphalt
46,K2A0,5000.0,asphalt
47,K2F5,5002.0,asphalt
48,K2G2,5000.0,asphalt
49,K2G4,5000.0,asphalt
50,K2G9,5002.0,asphalt
51,K2I0,6050.0,asphalt
52,K2IS,5950.0,asphalt
53,K2J3,5000.0,asphalt
54,K2M2,5003.0,asphalt
55,K2R0,5000.0,asphalt
56,K2T1,5100.0,asphalt
57,K2V5,5040.0,asphalt
58,K2V5,5400.0,asphalt
59,K32A,5325.0,asphalt
60,K38U,5900.0,asphalt
61,K3F3,5070.0,asphalt
62,K3J7,5500.0,asphalt
63,K3K7,5100.0,asphalt
64,K3M8,5144.0,asphalt
65,K3R7,5000.0,asphalt
66,K3T5,5001.0,asphalt
67,K3U3,6011.0,asphalt
68,K42J,5044.0,asphalt
69,K49B,5100.0,asphalt
70,K49X,5000.0,asphalt
71,K4A6,5250.0,asphalt
72,K4A7,5500.0,asphalt
73,K4A9,5001.0,asphalt
74,K4G6,5000.0,asphalt
75,K4I3,5001.0,asphalt
76,K4I7,5000.0,asphalt
77,K4O4,5000.0,asphalt
78,K4R3,5003.0,asphalt
79,K4R4,6604.0,asphalt
80,K4R7,5001.0,asphalt
81,K4S3,5200.0,asphalt
82,K4SD,7608.0,asphalt
83,K4SD,9000.0,asphalt
84,K4V0,6408.0,asphalt
85,K55J,5152.0,asphalt
86,K55J,5300.0,asphalt
87,K5M9,5001.0,asphalt
88,K5R8,5000.0,asphalt
89,K5T6,8500.0,asphalt
90,K5T9,5506.0,asphalt
91,K5W8,5001.0,asphalt
92,K62S,5200.0,asphalt
93,K67L,5100.0,asphalt
94,K6I2,5000.0,asphalt
95,K6S0,5285.0,asphalt
96,K6S8,5200.0,asphalt
97,K74V,6500.0,asphalt
98,K79J,5001.0,asphalt
99,K7K4,5000.0,asphalt
100,K7S1,6000.0,asphalt
101,K7S6,6100.0,asphalt
102,K82V,5336.0,asphalt
103,K87I,5000.0,asphalt
104,K8A1,5005.0,grooved concrete
105,K9A5,5412.0,asphalt
106,K9S5,5100.0,asphalt
107,K9U3,6000.0,asphalt
108,K9U3,6000.0,asphalt
109,K9U4,5500.0,asphalt
110,KA08,6377.0,asphalt
111,KAAS,5003.0,asphalt
112,KABE,5797.0,asphalt
113,KABE,7600.0,asphalt
114,KABI,7198.0,asphalt
115,KABI,7202.0,asphalt
